latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,no_of_days_since_lastreview
1.32568,103.85009,1,250,8,12,0.22,203,364,879
1.29473,103.83885,1,131,5,27,0.5,84,77,39
1.32574,103.85181,1,137,10,6,0.11,203,364,774
1.30527,103.83424,1,249,2,25,0.76,38,208,33
1.31263,103.79793,3,61,1,10,0.2,1,0,1384
1.3356,103.86592,3,300,1,0,0.0,1,365,1887
1.31208,103.88475,1,110,4,3,0.06,1,0,1181
1.29962,103.88732,1,175,3,0,0.0,1,0,1887
1.29523,103.84039,1,115,30,8,0.17,84,86,260
1.30258,103.84811,1,90,5,24,0.46,67,48,115
1.28209,103.85191,1,237,2,16,0.3,1,0,1240
1.31411,103.84805,2,56,2,0,0.0,1,0,1887
1.29638,103.83975,1,119,5,37,0.7,84,70,14
1.31621,103.85614,2,49,5,16,0.34,12,49,59
1.32266,103.85221,2,75,1,0,0.0,1,0,1887
1.31677,103.90182,2,44,1,6,0.11,1,0,1333
1.32584,103.85379,1,218,3,21,0.4,203,254,163
1.35071,103.85088,2,119,1,0,0.0,1,0,1887
1.30086,103.85439,1,190,90,195,3.67,1,59,8
1.2843,103.84738,2,125,21,133,2.51,1,0,167
1.30544,103.78462,2,69,14,0,0.0,1,0,1887
1.28407,103.84385,1,110,5,34,0.66,67,125,24
1.31642,103.85776,1,112,2,42,0.83,12,318,16
1.30218,103.86036,2,87,1,5,0.1,4,0,1293
1.30162,103.86022,2,76,1,39,0.74,4,0,1028
1.30223,103.86083,2,76,1,23,0.45,4,0,1116
1.29376,103.82802,1,281,3,8,0.16,1,0,1292
1.28227,103.78501,2,44,25,0,0.0,1,0,1887
1.31137,103.79544,2,75,90,8,0.16,14,356,329
1.31534,103.85822,1,100,2,83,1.58,12,320,15
1.29467,103.83839,1,119,6,56,1.06,84,62,15
1.31466,103.88736,1,90,14,68,1.31,67,0,31
1.29504,103.82971,2,58,21,6,0.13,4,149,264
1.31323,103.88802,1,82,4,130,2.47,84,41,24
1.30067,103.8392,1,219,2,118,2.32,1,46,17
1.31443,103.88751,1,85,15,124,2.36,84,61,107
1.31648,103.89486,1,85,1,62,1.18,67,72,28
1.31394,103.8866,1,90,4,51,1.01,84,33,17
1.31585,103.88554,1,110,1,24,0.46,67,89,34
1.31414,103.8881,1,85,1,79,1.53,67,120,49
1.3156,103.88776,1,92,4,26,0.49,67,73,15
1.31312,103.88663,1,94,9,29,0.56,84,68,179
1.28563,103.845,1,106,10,22,0.42,67,47,48
1.28362,103.84509,1,131,4,24,0.47,67,81,48
1.31352,103.88728,1,82,24,75,1.46,84,74,345
1.29297,103.76953,3,19,5,3,0.08,9,350,575
1.32734,103.84433,1,300,25,26,0.51,67,365,64
1.27495,103.83571,2,81,2,162,3.13,1,289,5
1.3131,103.89178,2,60,1,0,0.0,1,0,1887
1.29568,103.84042,1,81,1,0,0.0,1,0,1887
1.35613,103.84983,2,106,1,0,0.0,2,362,1887
1.31238,103.79542,2,78,28,9,0.18,14,347,258
1.29154,103.76891,3,25,5,2,0.05,9,0,1052
1.28368,103.84563,1,115,6,25,0.49,84,60,15
1.29561,103.84035,1,119,6,21,0.41,84,45,106
1.28359,103.84564,1,119,5,21,0.58,67,117,35
1.28342,103.84553,1,110,4,44,1.06,67,117,41
1.32958,103.88464,2,94,3,15,0.3,2,352,44
1.28026,103.85296,2,90,60,1,0.02,41,364,1251
1.33683,103.87099,1,200,2,0,0.0,1,0,1887
1.28326,103.84318,2,56,90,1,0.03,83,343,1027
1.3461,103.84932,2,150,1,0,0.0,1,0,1887
1.32526,103.84718,1,100,365,0,0.0,1,365,1887
1.29584,103.82675,1,169,2,2,0.04,1,0,1535
1.28985,103.84782,2,110,2,6,0.12,1,0,1411
1.31322,103.87976,2,50,2,99,3.26,14,77,1
1.30291,103.84871,2,69,1,4,0.08,1,0,1369
1.31532,103.8874,1,94,1,50,0.97,67,65,17
1.31644,103.88702,1,199,2,59,1.14,23,51,6
1.31314,103.88681,1,181,4,48,0.94,84,61,17
1.3132,103.88757,1,82,5,60,1.18,84,0,45
1.30288,103.84825,1,89,6,3,0.06,67,0,457
1.31174,103.79713,2,50,1,1,0.02,1,0,1540
1.32786,103.84907,1,218,14,35,0.68,203,316,237
1.29628,103.84034,1,208,7,23,0.45,4,363,11
1.31097,103.8826,2,90,1,115,2.22,37,319,15
1.31271,103.88891,2,79,1,0,0.0,1,0,1887
1.29554,103.85428,2,197,1,0,0.0,1,363,1887
1.28107,103.84132,1,304,3,115,2.24,9,105,20
1.29497,103.80752,2,75,3,0,0.0,1,0,1887
1.28315,103.83406,1,201,2,3,0.06,1,260,1417
1.30908,103.81955,2,150,3,0,0.0,1,363,1887
1.28374,103.83513,1,110,2,28,0.55,26,333,55
1.33081,103.80396,1,360,7,0,0.0,1,0,1887
1.34486,103.76871,2,76,90,2,0.04,1,365,582
1.28357,103.82995,1,115,1,11,1.25,26,349,23
1.29289,103.84007,2,65,2,2,0.04,1,0,1484
1.28214,103.83121,1,125,1,3,0.06,26,326,64
1.31452,103.88589,1,100,4,22,0.43,67,83,60
1.31015,103.85967,1,222,1,1,0.03,16,351,1102
1.31364,103.88734,1,99,6,55,1.13,84,51,25
1.32401,103.853,1,71,90,3,0.1,3,42,48
1.32831,103.84834,1,119,5,13,0.29,203,319,191
1.313,103.85922,2,76,90,11,0.22,2,256,149
1.27914,103.85002,2,89,90,0,0.0,1,365,1887
1.30531,103.78374,2,87,28,18,0.37,1,280,157
1.31152,103.84027,1,131,5,2,0.04,1,0,1367
1.31467,103.88749,1,181,7,40,0.78,84,74,17
1.31374,103.88752,1,85,4,99,1.95,67,73,23
1.31375,103.88663,1,85,14,28,0.55,67,0,65
1.29209,103.84109,1,137,8,27,0.53,1,0,278
1.30205,103.85804,2,119,1,2,0.07,7,233,603
1.31569,103.8367,2,100,2,0,0.0,1,0,1887
1.29836,103.84279,2,81,5,0,0.0,2,0,1887
